"x","crinum"
"SLC39A10",64169
"PCDH9",64133
"PHACTR1",63897
"INF2",63489
"ACTR2",63386
"MARCKSL1",63249
"ATP1A3",63161
"CNIH2",62679
"HLA-A",62504
"LMO4",62086
"BIN1",62022
"YJEFN3",62013
"ROGDI",61830
"DPP6",61764
"ATP13A2",61163
"VSTM2L",61044
"CYP46A1",60788
"ATP6V1C1",60158
"LRP1",59976
"VSNL1",59511
"PLCB1",59268
"SYT5",59001
"COX7A1",58627
"SIRT2",58095
"ARNT2",57899
"LZTS3",57897
"GRIN2A",57606
"C11orf87",57280
"SNX10",57187
"DCTN3",57002
"SCG2",56877
"MYL6",56572
"KIF3A",56405
"HPCAL1",56389
"PLEKHB1",56309
"ZBTB18",56264
"QKI",55552
"PIK3R1",55506
"TRIM37",55439
"LAMP1",54787
"SERPINE2",54733
"DAZAP2",54714
"PDP1",54595
"NREP",54199
"SHISA4",54168
"CADM3",53869
"S100A13",53298
"TMEM258",53161
"CD74",52910
"ATCAY",52512
"PRDX6",52395
"MRPL33",52013
"RAPGEF5",51806
"MAP2",51671
"PTPRA",51640
"GUCY1B1",51089
"JPH3",51087
"PFKL",50794
"RTN4R",50709
"PLP1",50599
"TSC22D4",50080
"HLA-B",50056
"GPRC5B",49868
"KRT19",49721
"NTM",49496
"HPRT1",49475
"NAP1L5",49415
"PCP4",49399
"PHYHIP",48888
"PDE2A",48837
"CHD5",48569
"PTP4A2",48210
"ACSL3",47493
"KIFC2",47160
"NLK",47003
"FGF12",47001
"ABCA2",46978
"HMGN2",46672
"FRRS1L",46559
"SYNJ1",46390
"RIMS3",46307
"PRRT1",46068
"SCGB2A2",45910
"HPCAL4",45894
"MBOAT7",45833
"MUC1",45581
"SYNPO",45306
"SEPT4",44889
"SSBP4",44763
"NEGR1",44521
"PPP3CA",44418
"MYT1L",44391
"UQCRH",44380
"ITPR1",44166
"GIT1",44150
"ARPC5L",43951
"C1orf115",43460
"SCARB2",43347
"CACNG3",43333
"PTK2B",43250
"AGT",43231
"CHRM1",43014
"SLC25A22",42731
"ATP6V1G1",42677
"MBNL2",42611
"MKL2",42407
"NCDN",42291
"GPR162",42132
"BTBD8",42106
"AQP4",42044
"PRRT2",42035
"PRKCG",41837
"PPP1R7",41785
"JPH4",41670
"KIAA1549L",41557
"OLFM1",41394
"PRPF8",40925
"IFITM3",40726
"ARL8A",40721
"RASGRF1",40643
"CHP1",40104
"KCNA2",40037
"PRKCA",39962
"KIAA0930",39944
"MEA1",39834
"NSG1",39457
"TESPA1",39219
"TUBG2",39201
"GSN",38998
"TM2D3",38787
"KCNC2",38707
"MFSD4A",38614
"FBXO9",38553
"TTLL7",38346
"ARPP21",38268
"CNTNAP2",37854
"NRXN2",37703
"CBR1",37612
"C6orf62",37583
"EDIL3",37542
"OMG",37507
"SLC8A2",37393
"NRXN3",37100
"GABRB3",36432
"SNRNP70",36314
"AP1S1",36096
"PUF60",36020
"HMGCR",35861
"PTPRF",35327
"OLIG1",35320
"CAMKK1",35293
"CLDND1",35288
"CAMSAP2",35166
"GRSF1",34969
"SLC30A3",34848
"SERP2",34814
"PPP1R9B",34668
"PKIG",34662
"SYBU",34578
"SPARC",34251
"R3HDM1",34045
"PAQR6",33689
"SUGP2",33562
"MGP",33453
"COPS8",33365
"CXCL14",33305
"MEF2D",33292
"FIBP",33116
"ATRNL1",33020
"RAB5C",32597
"RNASE1",32518
"GPC1",32424
"TMEM151B",32351
"ATP2B4",32200
"CNKSR2",31960
"SDCBP",31882
"AATK",31646
"FNDC4",31509
"IGFBP5",31470
"CX3CL1",31354
"ADGRB1",31037
"DBNDD1",30813
"KHDRBS3",30700
"SLC48A1",30599
"CD200",30296
"PCLO",30283
"CDK14",29991
"SCN8A",29988
"FBXL15",29918
"C14orf132",29909
"ENOPH1",29762
"GAD1",29498
"MIAT",29412
"SLC4A10",29386
"CCT2",29173
"CDK5",29147
"SSX2IP",29142
"EPHA4",29019
"TF",28964
"BCL11A",28816
"SHTN1",28325
"SLC2A13",28021
"SNORC",27915
"SFXN5",27910
"NDRG1",27879
"IPCEF1",27659
"NEFH",27607
"PPME1",27509
"LDB2",27247
"RNF130",26299
"IQSEC2",26257
"ARL3",26166
"CNTN2",26095
"ETS2",26025
"DDRGK1",25923
"SELENOP",25775
"TBR1",25470
"ITPKA",25368
"GRIA4",25241
"SYNE1",25076
"AMER2",24746
"CADM4",24613
"HS6ST1",24583
"PCDH7",24433
"VSTM2A",24306
"SLC44A1",24102
"LHPP",24080
"LAMP2",24072
"PNCK",23831
"KCNJ4",23815
"FAM19A5",23803
"SCN1A",23673
"SST",23601
"EFHD2",23588
"B4GALNT1",23514
"TRIO",23163
"LMTK2",23159
"HIPK2",23066
"CIT",22883
"PIP4K2A",22881
"CD9",22660
"ADD3",22627
"CAMK4",22617
"SUN2",22612
"TP53INP2",22597
"XIST",22586
"HAPLN4",22502
"PDE1B",22249
"CA10",22160
"SPP1",22134
"SLC12A2",22126
"SCRT1",22059
"CLCN3",21959
"CDH13",21740
"BCAS1",21728
"CACNB3",21699
"NTRK3",21659
"PAQR8",21568
"KRT18",21475
"KCNV1",21325
"CELF5",21235
"DDR1",20925
"PACS2",20853
"MOBP",20781
"KCTD16",20714
"PLA2G16",20706
"LINC00844",20567
"SLAIN1",20141
"EFHD1",20020
"CFL2",19931
"PRR36",19919
"ARHGEF12",19756
"GPX3",19631
"FAM84A",19568
"PARM1",19476
"PVALB",19399
"RASL10A",19390
"CLSTN2",18985
"ENPP2",18892
"EGR3",18810
"PMP22",18743
"SHANK3",18699
"FGFR2",18589
"PTEN",18477
"SEMA4D",18399
"SOWAHA",18318
"DCAF11",18266
"GRASP",18216
"HS6ST3",17878
"KCNIP4",17836
"PREX1",17835
"PPP1R14A",17774
"VAMP1",17761
"MAL",17737
"OPALIN",17541
"HOMER1",17469
"MEIS3",17399
"CACNB2",16825
"FBXO34",16738
"GABRA5",16636
"LGALS3BP",16627
"RBP4",16610
"PLLP",16600
"CAMK2D",16490
"GNG2",16461
"MAG",16377
"EFR3B",15988
"TTYH3",15962
"NEURL1",15862
"AMPD2",15704
"SYT16",15683
"GRIN2B",15628
"CNDP1",15379
"ACTN1",15261
"CLDN11",15180
"ERMN",15179
"PADI2",14929
"RASGRF2",14865
"KIAA1211L",14703
"AIF1L",14620
"PDPK1",14481
"STUM",14454
"NECAB2",14329
"TMEM144",13883
"ICAM5",13874
"CA2",13831
"FRMPD2",13553
"TTYH2",13491
"CERCAM",13483
"ELOVL1",13448
"VWA1",13209
"HSPA2",13174
"C1orf198",13154
"RHOBTB2",13150
"SOX8",13115
"RASSF2",13048
"CBLN2",12767
"CPNE6",12716
"THRB",12663
"B3GALT2",12617
"MOG",12599
"PCP4L1",12461
"HAPLN2",12460
"TMEM65",12441
"FAM19A2",12439
"CERS2",12418
"NKX6-2",12183
"GLDN",11871
"ADAMTS4",11821
"SEMA3B",11801
"LPAR1",11772
"CNR1",11617
"MGAT5B",11600
"JAM3",11319
"ERBB3",11096
"MYRF",10932
"PLEKHH1",10779
"DAAM2",10638
"AL359091.1",10607
"GPR37",10545
"KRT17",10509
"MAGI1",10469
"UGT8",10404
"CARNS1",10392
"SMYD2",10345
"NACC2",10167
"SLITRK1",10017
"SYNGR2",9833
"FAM107B",9775
"KLK6",9617
"PHLDB1",9607
"SAA1",9535
"CDC42EP1",9507
"PRR18",9474
"PHLPP1",9395
"GJB1",9240
"MAN1C1",9140
"SLC31A2",9059
"CARTPT",8912
"DOK6",8834
"SOX10",8757
"ANO3",8756
"FA2H",8586
"ANLN",8525
"RORB",8503
"CDKN1C",8502
"RHOU",8456
"MVB12B",8327
"AQP1",8300
"BOK",8201
"LINC00507",8189
"MTUS1",8108
"CMTM5",7761
"EVI2A",7744
"SHISA9",7743
"GLTP",7713
"LAMP5",7684
"VAMP3",7651
"GJC2",7622
"PCDH8",7615
"DGKB",7505
"CHRDL1",7503
"ADCYAP1",7353
"TMEM63A",7180
"LINC00599",7049
"FOLH1",6730
"LRRTM4",6676
"PRAG1",6550
"AC018647.1",6541
"NINJ2",6469
"KCNH5",6179
"RCN1",6101
"KCNK3",5899
"SSTR1",5787
"CALB2",5363
"RAB40C",4751
"CA4",4685
"RGS7",4254
"PPP4R4",3758
"FAM19A1",3416
"KCTD1",3396
"LNX1",3295
"CHRM3",3219
"SORBS2",2784
"CBLN4",2626
"CDH22",2614
"TMOD1",2203
"RGS12",2200
"GNAL",2138
"CUX2",2072
"CALB1",1918
"LINC01007",1860
"PITPNM2",1784
"AKAP5",1778
"TPPP3",1604
"HS3ST2",1264
